z [Mm]	log(T) [K]
-3.857426047325134277e-01	4.065011978149414062e+00	2.802588045597076416e-02
-3.721547126770019531e-01	4.061984539031982422e+00	2.939486317336559296e-02
-3.585895895957946777e-01	4.058882236480712891e+00	3.083754517138004303e-02
-3.450492918491363525e-01	4.055661678314208984e+00	3.238452970981597900e-02
-3.315328955650329590e-01	4.052310466766357422e+00	3.408221900463104248e-02
-3.180375099182128906e-01	4.048869132995605469e+00	3.590069338679313660e-02
-3.045648932456970215e-01	4.045336723327636719e+00	3.785350546240806580e-02
-2.911143004894256592e-01	4.041703224182128906e+00	3.992029651999473572e-02
-2.776856124401092529e-01	4.037904739379882812e+00	4.211620613932609558e-02
-2.642768919467926025e-01	4.033911705017089844e+00	4.448967799544334412e-02
-2.508901953697204590e-01	4.029729843139648438e+00	4.702433943748474121e-02
-2.375244945287704468e-01	4.025295734405517578e+00	4.975261166691780090e-02
-2.241777926683425903e-01	4.020572662353515625e+00	5.272738263010978699e-02
-2.108501940965652466e-01	4.015570640563964844e+00	5.592769011855125427e-02
-1.975425928831100464e-01	4.010249614715576172e+00	5.937137454748153687e-02
-1.842550933361053467e-01	4.004582405090332031e+00	6.298861652612686157e-02
-1.709856986999511719e-01	3.998467683792114258e+00	6.679255515336990356e-02
-1.577333956956863403e-01	3.991794109344482422e+00	7.076933234930038452e-02
-1.445011943578720093e-01	3.984456777572631836e+00	7.493204623460769653e-02
-1.312842071056365967e-01	3.976384878158569336e+00	7.924775779247283936e-02
-1.180872991681098938e-01	3.967445373535156250e+00	8.358475565910339355e-02
-1.049055978655815125e-01	3.957407951354980469e+00	8.778721094131469727e-02
-9.174010157585144043e-02	3.945939302444458008e+00	9.161187708377838135e-02
-7.859178632497787476e-02	3.932687997817993164e+00	9.473898261785507202e-02
-6.545969098806381226e-02	3.917095661163330078e+00	9.655380994081497192e-02
-5.234380811452865601e-02	3.898984193801879883e+00	9.643413126468658447e-02
-3.924223035573959351e-02	3.878329753875732422e+00	9.341408312320709229e-02
-2.615687064826488495e-02	3.856057167053222656e+00	8.699165284633636475e-02
-1.308675948530435562e-02	3.833443880081176758e+00	7.691820710897445679e-02
-2.904981010942719877e-05	3.812121868133544922e+00	6.420524418354034424e-02
1.301245018839836121e-02	3.793549537658691406e+00	5.132859945297241211e-02
2.604058943688869476e-02	3.778082847595214844e+00	4.040669649839401245e-02
3.905349969863891602e-02	3.765266418457031250e+00	3.231498971581459045e-02
5.205490067601203918e-02	3.754383087158203125e+00	2.661352045834064484e-02
6.504110246896743774e-02	3.744887113571166992e+00	2.268026024103164673e-02
7.801579684019088745e-02	3.736426115036010742e+00	1.999283395707607269e-02
9.097719937562942505e-02	3.728767395019531250e+00	1.821659691631793976e-02
1.039261966943740845e-01	3.721776723861694336e+00	1.712242513895034790e-02
1.168627962470054626e-01	3.715370178222656250e+00	1.657476834952831268e-02
1.297869980335235596e-01	3.709491729736328125e+00	1.647733524441719055e-02
1.427007019519805908e-01	3.704088449478149414e+00	1.674166694283485413e-02
1.556030064821243286e-01	3.699129819869995117e+00	1.731272228062152863e-02
1.684927940368652344e-01	3.694578409194946289e+00	1.811611279845237732e-02
1.813721954822540283e-01	3.690400123596191406e+00	1.909184083342552185e-02
1.942410916090011597e-01	3.686558246612548828e+00	2.020237222313880920e-02
2.070984989404678345e-01	3.683017253875732422e+00	2.141346037387847900e-02
2.199463993310928345e-01	3.679735898971557617e+00	2.270101942121982574e-02
2.327837944030761719e-01	3.676686286926269531e+00	2.403449267148971558e-02
2.456116974353790283e-01	3.673835754394531250e+00	2.538612298667430878e-02
2.584291100502014160e-01	3.671165943145751953e+00	2.674428001046180725e-02
2.712368965148925781e-01	3.668658733367919922e+00	2.810598723590373993e-02
2.840352058410644531e-01	3.666295766830444336e+00	2.948168478906154633e-02
2.968249917030334473e-01	3.664049386978149414e+00	3.087092936038970947e-02
3.096061050891876221e-01	3.661905050277709961e+00	3.228209540247917175e-02
3.223777115345001221e-01	3.659843921661376953e+00	3.371664509177207947e-02
3.351416885852813721e-01	3.657868385314941406e+00	3.516262397170066833e-02
